Manfacturer,Pedal,Width (in),Depth (in),Height (in),Color
JHS,Standard Enclosure,2.6,4.8,1.6,red
JHS,Superbolt,2.2,4.8,1.6,green
Greer,Standard Enclosure,2.6,4.8,1.4,blue
KORG,Tuner,2.7,4.75,1.85,yellow
Dunlop,Mini Volume,3,6,2.5,cyan
Jackson Audio,BLOOM,2.7,4.875,1.6,purple
Jackson Audio,PRISM,2.5,4.875,1.6,white
Jackson Audio,Golden Boy,2.7,4.875,1.6,black
BOSS,500 Series,6.75,5.35,2.5,red
BOSS,200 Series,4,5.35,2.5,green
BOSS,20 Series,6.875,6.25,2.25,blue
BOSS,Standard Enclosure,2.875,5.125,2.18,yellow
Ernie Ball,VP Jr,3.5,10,2.4,cyan
Source Audio,Ventris Dual Reverb,4.5,4.5,2,purple
Xotic,EP Booster,1.5,3.5,1.25,white
1981 Inventions,Standard Enclosure,3.386,4.232,2,black
Emerson Customs,EM-Drive Mach 2,2.6,4.8,1.6,red
Benson,Preamp,4.6,3.7,2,green
Wampler,Mini Ego,1.5,3.5,1.5,blue
TC Electronic,PolyTune,2.8,4.8,1.6,yellow
TC Electronic,PolyTune Mini,1.6,3.6,1.6,cyan
Walrus Audio,Julia,2.9,4.77,2.3,purple
29 Pedals,EUNA,4.875,3.625,1.6,white
Morningstar,MC8,8.82,5,2,black
Chase Bliss,Standard Enclosure,2.75,4.75,1.5,red
Fairfeild Circuitry,KTM,4.7,3.8,1.6,green
Strymon,Sunset,2,5,0.75,cyan
